PUID,FORMAT,SIGNATURES,BOF Offset,XML Declaration,Root tag,Root tag offset,Default namespace,Elements/attributes,Text encodings
FMT/663,INDUSTRY FOUNDATION CLASSES XML,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:0-32 seq ""iso_10303_28"")",,,,,,,
FMT/697,ADDITIVE MANUFACTURING FILE FORMAT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:1-256 seq ""<amf"" | WW P:1-128 seq ""<object id="")",,,,,,,
FMT/871,ADOBE CONTENT SERVER MESSAGE FILE,"(F B:0 seq ""<fulfillmentToken fulfillmentType"" | WW P:5-64 seq ""xmlns=\""http://ns.adobe.com/adept\"""" | WW P:3-64 seq ""<distributor"" | WW P:3-128 seq ""<operatorURL"" | WW P:3-64 seq ""<transaction"" | WW P:3-64 seq ""<expiration"" | WW P:3-512 seq ""<metadata"" | WW P:16-2048 seq ""<licenseToken"")",,,,,,,
FMT/890,ABIWORD DOCUMENT,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE abiword PUBLIC \""-//ABISOURCE//DTD AWML 1.0 Strict//EN\"" \""http://www.abisource.com/awml.dtd\"">\n<abiword template=\""false\"""")",,,,,,,
FMT/891,ABIWORD DOCUMENT TEMPLATE,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE abiword PUBLIC \""-//ABISOURCE//DTD AWML 1.0 Strict//EN\"" \""http://www.abisource.com/awml.dtd\"">\n<abiword template=\""true\"""")",,,,,,,
FMT/896,MUSIC XML,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:8-256 seq ""http://www.musicxml.org/dtds/"")",,,,,,,
FMT/932,MATHCAD DOCUMENT,"(F B:0 seq ""<?xml version=\""1.0\"""" | WL P seq ""xmlns=\""http://schemas.mathsoft.com"")",,,,,,,
FMT/965,MUSIC ENCODING INITIATIVE,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW B:20-532 seq ""xmlns=\""http://www.music-encoding.org/ns/mei"")",,,,,,,
FMT/979,XML PROPERTY LIST,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:8-256 seq ""<plist version=\""1.0\"">"")",,,,,,,
FMT/980,AAE SIDECAR FORMAT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:8-256 seq ""<plist version=\""1.0\"">"" | WW P:8-1024 seq ""apple.PhotoLibraryServices"")",,,,,,,
FMT/981,EAZYDRAW FILE FORMAT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | WW P:8-256 seq ""<plist version=\""1.0\"">"" | WW P:8-1024 seq ""EazyDrawVersion"")",,,,,,,
FMT/982,IMOVIEPROJ FILE FORMAT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:8-256 seq ""<plist version=\""1.0\"">"" | WW E:8-264 seq ""iMovie"")",,,,,,,
FMT/983,NIB FILE FORMAT,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:8-256 seq ""<plist version=\""1.0\"">"" | WW E:8-264 seq ""IBSystem Version"")",,,,,,,
FMT/1011,INTERLIS TRANSFER FILE,"(F B:0 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq "" encoding="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""UTF-8"" | F P:0 c[seq ""\"""",seq ""'""] | WW P:0-2 seq ""?>"" | WW P:0-256 seq ""<TRANSFER xmlns="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""http://www.interlis.ch/INTERLIS2.2"" | F P:0 c[seq ""\"""",seq ""'""])(WW B:0-2 seq ""<\x00?\x00x\x00m\x00l\x00 \x00v\x00e\x00r\x00s\x00i\x00o\x00n\x00=\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x001\x00.\x000\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00 \x00e\x00n\x00c\x00o\x00d\x00i\x00n\x00g\x00=\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00U\x00T\x00F\x00-\x008\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00?\x00>"" | WW P:0-512 seq ""<\x00T\x00R\x00A\x00N\x00S\x00F\x00E\x00R\x00 \x00x\x00m\x00l\x00n\x00s\x00=\x00"" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""\x00h\x00t\x00t\x00p\x00:\x00/\x00/\x00w\x00w\x00w\x00.\x00i\x00n\x00t\x00e\x00r\x00l\x00i\x00s\x00.\x00c\x00h\x00/\x00I\x00N\x00T\x00E\x00R\x00L\x00I\x00S\x002\x00.\x002"")",,,,,,,
FMT/1039,REDCODE METADATA (RMD) FILE,"(F B:0 seq ""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?>\n<!DOCTYPE REDXIF>"")",,,,,,,
